Rank,Tedarikçi Adı,İlgili Kişi,E-posta,Telefon,Website,Adres,Ürün Türü,Ürün Adı,Fiyat USD/kg (EXW),Fiyat USD/kg (FOB Mersin),MOQ (kg),Teknik Özellikler,Belgeler,Teslim Süresi (gün),Ödeme Koşulları,Aylık Kapasite,Dubai Deneyimi,İhracat Yılı,Teknik Destek,Dubai Saha Desteği,Diller,Laboratuvar,Notlar
1,Sika Turkey,Ahmet Özkan - Export Manager,export@tr.sika.com,+90 216 444 7452,www.sika.com.tr,"Çerkezköy OSB, Tekirdağ",Pce Superplasticizers,Sika ViscoCrete-2100,4.75,4.5,1000,"40% solid content, chloride-free, high performance reduction","ISO 9001:2015, ISO 14001:2015, CE Marking, TSE EN 934, UAE ESMA",15,"30% advance, 70% against B/L copy",500 tons,Evet,20,Evet,Evet,"Turkish, English, Arabic",Accredited lab,"Market leader, extensive UAE experience, technical training available"
1,Sika Turkey,Ahmet Özkan - Export Manager,export@tr.sika.com,+90 216 444 7452,www.sika.com.tr,"Çerkezköy OSB, Tekirdağ",Accelerators,Sika Rapid-1,3.85,3.6,500,"Non-chloride, alkali-free, rapid strength development","ISO 9001:2015, ISO 14001:2015, CE Marking, TSE EN 934, UAE ESMA",15,"30% advance, 70% against B/L copy",500 tons,Evet,20,Evet,Evet,"Turkish, English, Arabic",Accredited lab,"Market leader, extensive UAE experience, technical training available"
1,Sika Turkey,Ahmet Özkan - Export Manager,export@tr.sika.com,+90 216 444 7452,www.sika.com.tr,"Çerkezköy OSB, Tekirdağ",Retarders,Sika Retarder N,3.25,3.0,500,"Sugar-based, controlled setting, temperature stable","ISO 9001:2015, ISO 14001:2015, CE Marking, TSE EN 934, UAE ESMA",15,"30% advance, 70% against B/L copy",500 tons,Evet,20,Evet,Evet,"Turkish, English, Arabic",Accredited lab,"Market leader, extensive UAE experience, technical training available"
2,BASF Turkey Construction Chemicals,Mehmet Demir - Regional Export Manager,export.turkey@basf.com,+90 216 349 2000,www.basf.com.tr,"Dudullu OSB, Istanbul",Pce Superplasticizers,MasterGlenium 7700,5.1,4.85,1000,"Latest generation PCE, 35% water reduction, slump retention","ISO 9001:2015, ISO 14001:2015, OHSAS 18001, German DIN Standards, UAE Standards",12,"30% advance, 70% against B/L copy",800 tons,Evet,25,Evet,Evet,"Turkish, English, German, Arabic",R&D center with Dubai liaison,"German technology, strong R&D, Dubai office support"
2,BASF Turkey Construction Chemicals,Mehmet Demir - Regional Export Manager,export.turkey@basf.com,+90 216 349 2000,www.basf.com.tr,"Dudullu OSB, Istanbul",Accelerators,MasterSet R 100,4.2,3.95,500,"Rapid strength, low chloride, temperature compensated","ISO 9001:2015, ISO 14001:2015, OHSAS 18001, German DIN Standards, UAE Standards",12,"30% advance, 70% against B/L copy",800 tons,Evet,25,Evet,Evet,"Turkish, English, German, Arabic",R&D center with Dubai liaison,"German technology, strong R&D, Dubai office support"
2,BASF Turkey Construction Chemicals,Mehmet Demir - Regional Export Manager,export.turkey@basf.com,+90 216 349 2000,www.basf.com.tr,"Dudullu OSB, Istanbul",Retarders,MasterStabilizer 390,3.5,3.25,500,"Extended workability, hydration control","ISO 9001:2015, ISO 14001:2015, OHSAS 18001, German DIN Standards, UAE Standards",12,"30% advance, 70% against B/L copy",800 tons,Evet,25,Evet,Evet,"Turkish, English, German, Arabic",R&D center with Dubai liaison,"German technology, strong R&D, Dubai office support"
3,Akkim Construction Chemicals,Fatma Yılmaz - Export Coordinator,export@akkim.com.tr,+90 216 593 9400,www.akkim.com.tr,"Tuzla, Istanbul",Pce Superplasticizers,Akkiflow PCE-4000,4.1,3.85,500,"High efficiency PCE, 30% water reduction","ISO 9001:2015, TSE EN 934, Export License",18,"25% advance, 75% against B/L copy",300 tons,Evet,12,Evet,Hayır,"Turkish, English",Quality control lab,"Competitive pricing, flexible MOQ, growing UAE presence"
3,Akkim Construction Chemicals,Fatma Yılmaz - Export Coordinator,export@akkim.com.tr,+90 216 593 9400,www.akkim.com.tr,"Tuzla, Istanbul",Accelerators,Akkispeed Fast,3.45,3.2,300,"Fast setting, non-corrosive","ISO 9001:2015, TSE EN 934, Export License",18,"25% advance, 75% against B/L copy",300 tons,Evet,12,Evet,Hayır,"Turkish, English",Quality control lab,"Competitive pricing, flexible MOQ, growing UAE presence"
3,Akkim Construction Chemicals,Fatma Yılmaz - Export Coordinator,export@akkim.com.tr,+90 216 593 9400,www.akkim.com.tr,"Tuzla, Istanbul",Retarders,Akkislow Extended,2.95,2.7,300,"Extended working time, economical","ISO 9001:2015, TSE EN 934, Export License",18,"25% advance, 75% against B/L copy",300 tons,Evet,12,Evet,Hayır,"Turkish, English",Quality control lab,"Competitive pricing, flexible MOQ, growing UAE presence"
4,Kalekim Chemical Solutions,Ahmet Yıldız - Export Manager,export@kalekim.com.tr,+90 262 648 7500,www.kalekimchemicalsolut.com.tr,"Çayırova, Kocaeli",Pce Superplasticizers,Kalekim PCE,4.25,4.0,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",16,"30% advance, 70% against B/L copy",200 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 200 tons monthly capacity"
