Tedarikçi Adı,İlgili Kişi,E-posta,Telefon,Ürün Türü,Ürün Adı,Fiyat USD/kg,MOQ,Belgeler,Teslim Süresi,Ödeme Koşulları,İhracat Deneyimi,Teknik Destek,Notlar
Sika Turkey,Export Manager,export@tr.sika.com,+90 216 444 7452,PCE Superplasticizer,Sika ViscoCrete,4.20-4.80,1 ton,ISO 9001/14001/CE,15-20 gün,30% avans 70% B/L,Güçlü UAE deneyimi,Mevcut,Market lideri
BASF Turkey,Export Manager,export.turkey@basf.com,+90 216 349 2000,PCE Superplasticizer,MasterGlenium,4.50-5.00,1 ton,ISO 9001/14001/OHSAS,15-20 gün,30% avans 70% B/L,Kapsamlı Orta Doğu,Mevcut,Alman kalitesi
Akkim Construction,Export Manager,export@akkim.com.tr,+90 216 593 9400,PCE Superplasticizer,Akkiflow PCE,3.80-4.20,500 kg,ISO 9001/TSE,20-25 gün,25% avans 75% B/L,GCC pazarında aktif,Mevcut,Rekabetçi fiyat
Kalekim Chemical,Export Manager,export@kalekim.com.tr,+90 262 648 7500,PCE Superplasticizer,Kalekim SuperFlow,3.90-4.30,1 ton,ISO 9001/CE,18-22 gün,30% avans 70% B/L,Bölgesel ihracat,Mevcut,Kale Grubu üyesi
MC-Bauchemie Turkey,Export Manager,export@mc-bauchemie.com.tr,+90 216 540 3434,PCE Superplasticizer,MC-PowerFlow,4.10-4.60,1 ton,ISO 9001/Alman standart,15-20 gün,30% avans 70% B/L,Uluslararası erişim,Mevcut,Alman-Türk ortaklığı
Chryso Turkey,Export Manager,export@chryso.com.tr,+90 216 463 0707,PCE Superplasticizer,Chryso Optima,4.30-4.70,1 ton,ISO 9001/Fransız standart,18-23 gün,30% avans 70% B/L,Orta Doğu odaklı,Mevcut,İnovatif çözümler
Sika Turkey,Export Manager,export@tr.sika.com,+90 216 444 7452,Accelerator,Sika Rapid,3.50-3.90,500 kg,ISO 9001/14001/CE,15-20 gün,30% avans 70% B/L,Güçlü UAE deneyimi,Mevcut,Geniş ürün yelpazesi
BASF Turkey,Export Manager,export.turkey@basf.com,+90 216 349 2000,Accelerator,MasterSet,3.60-4.00,500 kg,ISO 9001/14001/OHSAS,15-20 gün,30% avans 70% B/L,Kapsamlı Orta Doğu,Mevcut,R&D desteği güçlü
Akkim Construction,Export Manager,export@akkim.com.tr,+90 216 593 9400,Accelerator,Akkispeed,3.20-3.60,300 kg,ISO 9001/TSE,20-25 gün,25% avans 75% B/L,GCC pazarında aktif,Mevcut,Esnek MOQ
Sika Turkey,Export Manager,export@tr.sika.com,+90 216 444 7452,Retarder,Sika Retarder,2.80-3.20,500 kg,ISO 9001/14001/CE,15-20 gün,30% avans 70% B/L,Güçlü UAE deneyimi,Mevcut,Kalite garantisi
BASF Turkey,Export Manager,export.turkey@basf.com,+90 216 349 2000,Retarder,MasterStabilizer,2.90-3.30,500 kg,ISO 9001/14001/OHSAS,15-20 gün,30% avans 70% B/L,Kapsamlı Orta Doğu,Mevcut,Teknik danışmanlık
Akkim Construction,Export Manager,export@akkim.com.tr,+90 216 593 9400,Retarder,Akkislow,2.60-3.00,300 kg,ISO 9001/TSE,20-25 gün,25% avans 75% B/L,GCC pazarında aktif,Mevcut,Özel formülasyon
